1杰克逊、哈林顿面对记者追问表达对詹姆斯的支持   1小时前   TMZ体育  https://voice.hupu.com/nba/2488655.html
25信心满满！唐斯：没关系，就继续小看我们吧   5小时前   The Undefeated  https://voice.hupu.com/nba/2488587.html
26凯西：76人防守很强，他们给我留下了深刻印象   5小时前   Twitter  https://voice.hupu.com/nba/2488591.html
27塞克斯顿：爱德华兹手感火热，面对防守也能够命中投篮   5小时前   Twitter  https://voice.hupu.com/nba/2488590.html
28朱-霍勒迪：沃克也许是球队里我最喜欢的球员   5小时前   Twitter  https://voice.hupu.com/nba/2488585.html
29乐福：揭幕战会有全新面貌，和新队友打球感觉很棒   5小时前   YouTube  https://voice.hupu.com/nba/2488583.html
30比塔泽：开始的时候很紧张，队友和教练帮助我很多   5小时前   Twitter  https://voice.hupu.com/nba/2488582.html
31巴特勒：永远不想与韦德比较，会坚持球队的前进方向   5小时前   美联社  https://voice.hupu.com/nba/2488581.html
32斯托茨：世界很复杂，很多人都没足够了解到去评论的地步   5小时前   Blazer's Edge  https://voice.hupu.com/nba/2488580.html
33马龙：巴顿很努力，但球队在不断前进   5小时前   The Athletic  https://voice.hupu.com/nba/2488578.html
34乔-哈里斯排历史前三射手：库里、汤普森、雷-阿伦   5小时前   Bleacher Report  https://voice.hupu.com/nba/2488576.html
35莱恩-桑德斯谈蒂格：他是一个你想要与他相处的家伙   5小时前   NBA官网  https://voice.hupu.com/nba/2488571.html
36活塞众将赛后：伍德表现出色，挑战对面的大个球员过多   6小时前   NBA官网  https://voice.hupu.com/nba/2488569.html
37马刺默里：想要留队，但不会提前考虑无法控制的事   6小时前   雅虎体育  https://voice.hupu.com/nba/2488568.html
38特雷-杨：季前赛不是失误的借口，做好自己才能带动球队   6小时前   The Athletic  https://voice.hupu.com/nba/2488566.html
39杜兰特谈是否出手中距离：谁讨论打球还带上折线图   6小时前   Bleacher Report  https://voice.hupu.com/nba/2488560.html
40卡尔弗：我感觉越来越自如，蒂格对我的帮助很大   6小时前   NBA官网  https://voice.hupu.com/nba/2488564.html
41精致佳人！东契奇女友发布多张美照，东契奇一一点赞   6小时前   Instagram  https://voice.hupu.com/nba/2488558.html
42逗趣搞怪！米尔斯带队友cosplay海盗   6小时前   Instagram  https://voice.hupu.com/nba/2488554.html
43大加：我想要为球队带来领导力，无论是在场上还是场下   7小时前   华盛顿邮报  https://voice.hupu.com/nba/2488548.html
44人生赢家！汤普森更新社媒展示自己身伴豪车的帅照   7小时前   Instagram  https://voice.hupu.com/nba/2488546.html
45麦科勒姆：西部竞争激烈，保持健康才会获得最好的机会   7小时前   华盛顿邮报  https://voice.hupu.com/nba/2488544.html
46帕金斯：球员会经历社交媒体培训，球队总经理也应该经历   7小时前   YouTube  https://voice.hupu.com/nba/2488541.html
47詹姆斯谈备战情况：还需要几天时间来调整身体状态   8小时前   YouTube  https://voice.hupu.com/nba/2488531.html
48尼克斯主教练称将培养巴雷特成为控球后卫   8小时前   雅虎体育  https://voice.hupu.com/nba/2488527.html
49特雷-莱尔斯更新社媒，晒新赛季定妆照   8小时前   Instagram  https://voice.hupu.com/nba/2488526.html
50偶尔耍耍帅！康利社媒晒自己的个人宣传视频   8小时前   Instagram  https://voice.hupu.com/nba/2488525.html
51唐斯：球队需保持凝聚力，去年没能进入季后赛很艰难   8小时前   SLAM  https://voice.hupu.com/nba/2488523.html
52回馈社区！洛瑞携家人出席加拿大感恩节活动   8小时前   Twitter  https://voice.hupu.com/nba/2488520.html
53赛布尔：其他人想要在场上命中投篮，而我就想抢断对手   8小时前   Twitter  https://voice.hupu.com/nba/2488519.html
54头号粉丝！米切尔更新社媒晒出身穿蜘蛛侠卫衣生活照   8小时前   Instagram  https://voice.hupu.com/nba/2488517.html
55拉文：数据专家过于痴迷三分和突破，中距离不该被遗忘   8小时前   SLAM  https://voice.hupu.com/nba/2488516.html
56詹姆斯：我相信篮球能够团结大众，时间会治愈一切   8小时前   YouTube  https://voice.hupu.com/nba/2488514.html
57得分后卫间的交流！魔术官方晒麦迪与富尼耶训练中合照   8小时前   Instagram  https://voice.hupu.com/nba/2488513.html
58众志成城！湖人众将积极应对伤病，回归近在咫尺   9小时前   Twitter  https://voice.hupu.com/nba/2488512.html
59科温顿更新社媒晒照：感觉越来越好，很高兴与兄弟重逢   9小时前   Instagram  https://voice.hupu.com/nba/2488511.html
60诺维茨基谈学生时代：父母看了我的成绩单后感到很害怕   9小时前   Sporting News  https://voice.hupu.com/nba/2488508.html
